# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-fonts_font-variant-east-asian-05_html | POLLUTED | 0.04% | 4.50% |
| css_css-fonts_font-variant-east-asian-06_html | POLLUTED | 0.04% | 4.47% |
| css_css-fonts_font-variant-east-asian-07_html | POLLUTED | 0.04% | 4.49% |
| css_css-fonts_font-variant-east-asian-08_html | POLLUTED | 0.04% | 4.43% |
| css_css-fonts_font-variant-east-asian-09_html | POLLUTED | 0.04% | 4.46% |
| css_css-fonts_font-variant-east-asian-10_html | POLLUTED | 0.04% | 4.34% |
| css_css-fonts_font-variant-east-asian_html | self-pass | 0.00% | 0.00% |
| css_css-fonts_font-variant-emoji-003_html | POLLUTED | 0.04% | 1.04% |
| css_css-fonts_font-variant-emoji-004_html | POLLUTED | 0.02% | 1.61% |
| css_css-fonts_font-variant-emoji-005_html | POLLUTED | 0.10% | 1.93% |
| css_css-fonts_font-variant-emoji-2_html | POLLUTED | 0.30% | 1.98% |
| css_css-fonts_font-variant-ligatures-01_html | POLLUTED | 0.12% | 2.47% |
| css_css-fonts_font-variant-ligatures-02_html | POLLUTED | 0.00% | 2.78% |
| css_css-fonts_font-variant-ligatures-03_html | POLLUTED | 0.08% | 1.27% |
| css_css-fonts_font-variant-ligatures-04_html | POLLUTED | 0.00% | 1.69% |
| css_css-fonts_font-variant-ligatures-05_html | POLLUTED | 0.05% | 1.09% |
| css_css-fonts_font-variant-ligatures-06_html | POLLUTED | 0.00% | 1.31% |
| css_css-fonts_font-variant-ligatures-07_html | POLLUTED | 0.05% | 1.09% |
| css_css-fonts_font-variant-ligatures-08_html | POLLUTED | 0.00% | 1.31% |
| css_css-fonts_font-variant-ligatures-09_html | POLLUTED | 0.05% | 1.09% |
| css_css-fonts_font-variant-ligatures-10_html | POLLUTED | 0.00% | 1.31% |
| css_css-fonts_font-variant-ligatures-11_optional_html | POLLUTED | 0.14% | 2.10% |
| css_css-fonts_font-variant-ligatures_html | self-pass | 0.00% | 0.00% |
| css_css-fonts_font-variant-numeric-01_html | POLLUTED | 0.00% | 3.88% |
| css_css-fonts_font-variant-numeric-02_html | POLLUTED | 0.05% | 3.92% |
| css_css-fonts_font-variant-numeric-03_html | POLLUTED | 0.04% | 4.25% |
| css_css-fonts_font-variant-numeric-04_html | POLLUTED | 0.04% | 4.26% |
| css_css-fonts_font-variant-numeric-05_html | POLLUTED | 0.04% | 4.29% |
| css_css-fonts_font-variant-numeric-06_html | POLLUTED | 0.04% | 4.29% |
| css_css-fonts_font-variant-numeric-07_html | POLLUTED | 0.04% | 4.27% |
| css_css-fonts_font-variant-numeric-08_html | POLLUTED | 0.04% | 4.22% |
| css_css-fonts_font-variant-numeric-09_html | POLLUTED | 0.04% | 3.97% |
| css_css-fonts_font-variant-numeric_html | self-pass | 0.00% | 0.00% |
| css_css-fonts_font-variant-position-01_html | self-fail | 0.53% | 2.06% |
| css_css-fonts_font-variant-position-02_html | POLLUTED | 0.34% | 2.36% |
| css_css-fonts_font-variant-position-03_html | POLLUTED | 0.34% | 2.36% |
| css_css-fonts_font-variant-position_html | self-pass | 0.00% | 0.00% |
| css_css-fonts_font-variation-settings-descriptor-01_html | self-pass | 0.00% | 0.81% |
| css_css-fonts_font-variation-settings-descriptor-02_html | self-pass | 0.00% | 0.80% |
| css_css-fonts_font-variation-settings-descriptor-03_html | POLLUTED | 0.00% | 1.82% |
| css_css-fonts_font-variation-settings-descriptor-04_html | self-pass | 0.00% | 0.99% |
| css_css-fonts_font-weight-bolder-001_xht | self-fail | 0.58% | 7.56% |
