# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /tmp/oracle-shots-all
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-multicol_baseline-008_html | self-fail | 1.46% | 1.76% |
| css_css-multicol_broken-column-rule-1_html | self-pass | 0.10% | 0.10% |
| css_css-multicol_column-balancing-paged-001-print_html | self-fail | 48.53% | 81.19% |
| css_css-multicol_column-height-009_html | self-fail | 11.78% | 11.84% |
| css_css-multicol_column-pseudo-background-color_html | self-pass | 0.00% | 0.53% |
| css_css-multicol_column-rule-002_html | POLLUTED | 0.00% | 1.69% |
| css_css-multicol_composited-under-clip-under-multicol_html | self-fail | 0.83% | 0.83% |
| css_css-multicol_float-with-line-after-spanner_html | POLLUTED | 0.11% | 1.29% |
| css_css-multicol_move-with-text-after-paint_html | POLLUTED | 0.00% | 4.02% |
| css_css-multicol_moz-multicol3-column-balancing-break-inside-avoid-1_html | self-fail | 0.75% | 2.00% |
| css_css-multicol_multicol-block-no-clip-001_xht | self-fail | 0.72% | 2.75% |
| css_css-multicol_multicol-block-no-clip-002_xht | self-fail | 1.81% | 3.66% |
| css_css-multicol_multicol-break-000_xht | POLLUTED | 0.25% | 1.40% |
| css_css-multicol_multicol-break-001_xht | POLLUTED | 0.25% | 1.40% |
| css_css-multicol_multicol-breaking-000_html | self-pass | 0.34% | 0.66% |
| css_css-multicol_multicol-breaking-001_html | self-fail | 0.66% | 1.51% |
| css_css-multicol_multicol-breaking-002_html | self-fail | 0.98% | 2.40% |
| css_css-multicol_multicol-breaking-003_html | self-fail | 0.67% | 1.51% |
| css_css-multicol_multicol-breaking-004_html | self-fail | 5.60% | 6.45% |
| css_css-multicol_multicol-breaking-005_html | self-fail | 21.74% | 22.28% |
| css_css-multicol_multicol-breaking-006_html | self-fail | 1.20% | 1.91% |
| css_css-multicol_multicol-breaking-nobackground-000_html | self-pass | 0.17% | 0.49% |
