# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-text_letter-spacing_letter-spacing-animating-letter-spacing_html | self-pass | 0.08% | 0.87% |
| css_css-text_letter-spacing_letter-spacing-bengali-yaphala-001_html | POLLUTED | 0.00% | 5.39% |
| css_css-text_letter-spacing_letter-spacing-bidi-001_html | POLLUTED | 0.19% | 1.86% |
| css_css-text_letter-spacing_letter-spacing-bidi-002_html | POLLUTED | 0.11% | 1.76% |
| css_css-text_letter-spacing_letter-spacing-bidi-003_xht | POLLUTED | 0.44% | 2.81% |
| css_css-text_letter-spacing_letter-spacing-bidi-004_xht | self-fail | 4.12% | 7.46% |
| css_css-text_letter-spacing_letter-spacing-bidi-005_xht | self-fail | 3.89% | 7.92% |
| css_css-text_letter-spacing_letter-spacing-control-chars-001_html | self-fail | 0.86% | 1.99% |
| css_css-text_letter-spacing_letter-spacing-cursive-001_html | POLLUTED | 0.14% | 3.01% |
| css_css-text_letter-spacing_letter-spacing-cursive-002_html | self-fail | 0.53% | 1.36% |
| css_css-text_letter-spacing_letter-spacing-end-of-line-001_html | POLLUTED | 0.14% | 1.75% |
| css_css-text_letter-spacing_letter-spacing-end-of-line-002_html | self-fail | 1.56% | 2.53% |
| css_css-text_letter-spacing_letter-spacing-ligatures-001_html | POLLUTED | 0.00% | 1.58% |
| css_css-text_letter-spacing_letter-spacing-ligatures-002_html | POLLUTED | 0.41% | 1.23% |
| css_css-text_letter-spacing_letter-spacing-ligatures-003_html | POLLUTED | 0.00% | 1.05% |
| css_css-text_letter-spacing_letter-spacing-ligatures-004_html | POLLUTED | 0.00% | 1.05% |
| css_css-text_letter-spacing_letter-spacing-ligatures-005_html | self-pass | 0.34% | 0.54% |
| css_css-text_letter-spacing_letter-spacing-nesting-001_html | POLLUTED | 0.36% | 2.06% |
| css_css-text_letter-spacing_letter-spacing-nesting-002_html | POLLUTED | 0.27% | 1.87% |
| css_css-text_letter-spacing_letter-spacing-nesting-003_xht | self-fail | 3.99% | 7.30% |
| css_css-text_letter-spacing_letter-spacing-percent-001_html | self-fail | 1.69% | 3.41% |
| css_css-text_letter-spacing_letter-spacing-trim-start-001_html | POLLUTED | 0.20% | 1.49% |
| css_css-text_line-break_line-break-anywhere-001_html | POLLUTED | 0.12% | 1.10% |
| css_css-text_line-break_line-break-anywhere-002_html | POLLUTED | 0.13% | 1.11% |
| css_css-text_line-break_line-break-anywhere-003_html | self-fail | 1.47% | 3.63% |
| css_css-text_line-break_line-break-anywhere-004_html | self-fail | 0.90% | 1.79% |
| css_css-text_line-break_line-break-anywhere-005_html | self-fail | 2.15% | 2.99% |
| css_css-text_line-break_line-break-anywhere-006_html | self-fail | 0.71% | 1.59% |
| css_css-text_line-break_line-break-anywhere-007_html | self-fail | 0.86% | 1.75% |
| css_css-text_line-break_line-break-anywhere-008_html | self-fail | 1.03% | 1.92% |
| css_css-text_line-break_line-break-anywhere-009_html | self-fail | 0.71% | 1.59% |
| css_css-text_line-break_line-break-anywhere-010_html | self-fail | 1.88% | 2.76% |
| css_css-text_line-break_line-break-anywhere-011_html | self-fail | 0.86% | 1.75% |
| css_css-text_line-break_line-break-anywhere-012_html | self-fail | 0.86% | 1.75% |
| css_css-text_line-break_line-break-anywhere-013_html | self-fail | 0.78% | 1.67% |
| css_css-text_line-break_line-break-anywhere-014_html | self-fail | 0.78% | 1.67% |
