# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_CSS2_backgrounds_background-attachment-applies-to-006_xht | POLLUTED | 0.48% | 3.27% |
| css_CSS2_backgrounds_background-attachment-applies-to-007_xht | self-fail | 2.40% | 4.07% |
| css_CSS2_backgrounds_background-attachment-applies-to-009_xht | self-fail | 2.40% | 4.07% |
| css_CSS2_backgrounds_background-attachment-applies-to-012_xht | self-fail | 2.40% | 4.07% |
| css_CSS2_backgrounds_background-attachment-applies-to-013_xht | self-fail | 2.40% | 4.07% |
| css_CSS2_backgrounds_background-attachment-applies-to-014_xht | self-fail | 2.40% | 4.07% |
| css_CSS2_backgrounds_background-attachment-applies-to-015_xht | self-fail | 2.40% | 4.07% |
| css_CSS2_backgrounds_background-bg-pos-204_xht | POLLUTED | 0.01% | 1.12% |
| css_CSS2_backgrounds_background-bg-pos-206_xht | POLLUTED | 0.01% | 1.14% |
| css_CSS2_backgrounds_background-bg-pos-208_xht | POLLUTED | 0.02% | 1.32% |
| css_CSS2_backgrounds_background-body-001_xht | self-fail | 97.04% | 97.72% |
| css_CSS2_backgrounds_background-color-129_xht | self-pass | 0.00% | 0.86% |
| css_CSS2_backgrounds_background-color-174_xht | self-pass | 0.00% | 0.70% |
| css_CSS2_backgrounds_background-color-175_xht | POLLUTED | 0.00% | 1.30% |
| css_CSS2_backgrounds_background-color-applies-to-001_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-color-applies-to-002_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-color-applies-to-003_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-color-applies-to-004_xht | self-pass | 0.00% | 0.66% |
